sample_index,unit_id,utterance_id,law_number,document_uri,annotation_id,concept_status,concept_id,proposed_concept,stance,start_char,end_char,evidence_text,justification
16,utt_f5d978e1dc5bc3628dcc::p0009-p0010,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,in_codebook,igualdad_universalismo,,oppose,28,220,siempre vamos a preferir que las platas del Fisco se usen para favorecer a los más desposeídos y no en plataformas que no discriminen entre los que tienen más y aquellos que tienen poco o nada,"{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""El pasaje también prioriza a los más desposeídos por su carencia económica, pero esta anotación captura específicamente el rechazo al trato igual entre personas con distintos recursos.""}],""coding"":""La preferencia por no financiar plataformas que tratan de la misma manera a quienes tienen más y a quienes tienen poco o nada rechaza explícitamente el trato no diferenciado como regla de asignación."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""Se opone a que la protección previsional se otorgue igual o universalmente con independencia del estatus económico."",""uncertainty"":""“Plataformas que no discriminen” no nombra literalmente la universalidad, aunque formula un rechazo explícito de la asignación uniforme entre niveles de recursos.""}"
16,utt_f5d978e1dc5bc3628dcc::p0009-p0010,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_002,in_codebook,conciencia_costos,,support,28,316,"siempre vamos a preferir que las platas del Fisco se usen para favorecer a los más desposeídos y no en plataformas que no discriminen entre los que tienen más y aquellos que tienen poco o nada, porque tenemos claro que las necesidades son infinitas, pero los recursos siempre son escasos.","{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""Aunque aparece la palabra “necesidades”, el fundamento de este código es que los recursos son escasos y, por ello, debe limitarse o focalizarse el gasto; no quién presenta la mayor carencia.""}],""coding"":""La escasez de recursos se invoca causalmente para preferir una asignación focalizada en los más desposeídos y rechazar una plataforma sin diferenciación económica."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""Apoya que la escasez y la capacidad fiscal restrinjan o focalicen la expansión de la protección previsional."",""uncertainty"":""El texto no cuantifica el costo ni afirma que la reforma sea inviable, pero vincula explícitamente los recursos escasos con la focalización del gasto.""}"
18,utt_f5d978e1dc5bc3628dcc::p0013-p0016,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,reciprocidad_contributiva,,support,93,169,el objetivo final: una vejez digna y acompañada para quienes han dado tanto.,"{""alternatives"":[{""concept_id"":""capitalizacion_individual"",""reason"":""No se afirma que las cotizaciones ingresen a una cuenta individual ni que financien la pensión de su titular.""},{""concept_id"":""necesidad_material"",""reason"":""No se invocan pobreza, carencia económica o vulnerabilidad; el fundamento es lo que las personas han dado previamente.""}],""coding"":""La vejez digna y acompañada se presenta como un objetivo para quienes han dado tanto, usando ese aporte o esfuerzo previo como razón para recibir protección previsional."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""Apoya la proposición de que el esfuerzo contributivo previo genera un título moral a recibir protección."",""uncertainty"":""La expresión «han dado tanto» no especifica si se refiere a trabajo, cotizaciones o esfuerzo contributivo; la asignación a reciprocidad es plausible, pero requiere revisión.""}"
18,utt_f5d978e1dc5bc3628dcc::p0013-p0016,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,in_codebook,ilegitimidad_origen_dictatorial,,oppose,219,435,ya está bueno que le echemos la culpa de todo lo que ha pasado durante estos treinta años al Gobierno militar. ¡Porque al sistema previsional chileno lo legitimó la misma Concertación y la Nueva Mayoría en el pasado!,"{""alternatives"":[{""concept_id"":""acuerdos_moderacion"",""reason"":""La Concertación y la Nueva Mayoría aparecen como actores que legitimaron el sistema, no como un acuerdo, compromiso o moderación valorados normativamente.""}],""coding"":""La frase rechaza seguir atribuyendo responsabilidad al Gobierno militar y fundamenta ese rechazo en que la Concertación y la Nueva Mayoría legitimaron posteriormente el sistema previsional, refutando que su origen militar siga debilitando su legitimidad."",""context_evidence"":[],""criterion_reference"":""include:4"",""stance"":""Se opone a la proposición de que el origen dictatorial debilite la legitimidad actual del sistema."",""uncertainty"":""El texto habla de responsabilidad histórica y legitimación posterior, sin declarar literalmente que el origen dictatorial carezca de efectos sobre la legitimidad actual; esa conexión es interpretativa, aunque está respaldada por el contraste entre ambas ideas.""}"
23,utt_3fa28e82f6041a105003::p0005,utt_3fa28e82f6041a105003,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,acuerdos_moderacion,,support,293,320,cedimos para lograr avanzar,"{""alternatives"":[],""coding"":""La concesión frente a otra posición se presenta explícitamente como un medio para destrabar y hacer avanzar la reforma, lo que atribuye valor instrumental al compromiso entre posiciones contrapuestas."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""Apoya que la moderación y el compromiso sean mecanismos válidos o necesarios para alcanzar una reforma previsional."",""uncertainty"":""La frase podría leerse como una descripción estratégica de la negociación y no como una defensa explícita del acuerdo; se codifica porque el propósito «para lograr avanzar» funciona como justificación de la concesión.""}"
27,utt_3fa28e82f6041a105003::p0011,utt_3fa28e82f6041a105003,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,propiedad_individual_fondos,,support,230,335,estos fondos eran de propiedad de las personas. Y han presentado proyectos para nacionalizar estos fondos,"{""alternatives"":[{""concept_id"":""capitalizacion_individual"",""reason"":""Aunque se menciona previamente la capitalización individual, la razón expresada aquí es la propiedad de los fondos, no que cada persona deba financiar su pensión principalmente con su propio ahorro.""}],""coding"":""La cita afirma la propiedad individual de los fondos y la contrapone a proyectos de nacionalización, usando la titularidad como razón para cuestionar una transferencia a terceros."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""La afirmación se alinea con que los fondos previsionales pertenecen individualmente al cotizante y que ese derecho debe prevalecer frente a su nacionalización."",""uncertainty"":""La propiedad aparece como una afirmación atribuida a lo que se decía durante la campaña y el orador no formula literalmente que deba respetarse; la contraposición explícita con la nacionalización permite interpretarla como fundamento de la objeción.""}"
32,utt_289b0fb559ca74901faf::p0004-p0005,utt_289b0fb559ca74901faf,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,review,,Deliberación legislativa diferenciada: los cambios a beneficios vinculados a situaciones graves deben tramitarse mediante un debate profundo y un tratamiento particular y separado.,support,44,320,esa discusión debe plantearse en el seno de un escenario mucho más profundo y no aprovechar el marco de esta iniciativa para realizar una modificación a aquellos beneficios que se otorgan a quienes están incorporados al sistema en el marco de la Ley Valech o de la Ley Rettig.,"{""alternatives"":[{""concept_id"":""acuerdos_moderacion"",""reason"":""Aunque se refiere al procedimiento legislativo, no invoca acuerdos amplios, compromiso, consenso ni moderación entre posiciones contrapuestas.""}],""coding"":""La cita formula una exigencia procedimental explícita: la discusión debe desarrollarse en un escenario más profundo y no utilizar la iniciativa en curso para modificar esos beneficios. El libro no contempla un código específico para exigir una deliberación legislativa diferenciada."",""context_evidence"":[],""criterion_reference"":""new_concept"",""stance"":""Apoya la proposición de que estos cambios deben tramitarse mediante una deliberación profunda y separada."",""uncertainty"":""El texto no precisa qué características harían más profundo el escenario legislativo; la exigencia de un marco separado sí es explícita.""}"
32,utt_289b0fb559ca74901faf::p0004-p0005,utt_289b0fb559ca74901faf,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,review,,Deliberación legislativa diferenciada: los cambios a beneficios vinculados a situaciones graves deben tramitarse mediante un debate profundo y un tratamiento particular y separado.,support,360,476,"por la gravedad de las circunstancias, el caso amerita un tratamiento absolutamente particular, distinto y separado.","{""alternatives"":[{""concept_id"":""acuerdos_moderacion"",""reason"":""No se defiende una solución de compromiso ni la moderación entre posiciones; se exige un tratamiento diferenciado por la gravedad del caso.""}],""coding"":""La gravedad de las circunstancias se presenta como razón normativa para otorgar al caso un tratamiento particular, distinto y separado, lo que constituye una justificación procedimental ausente del libro de códigos."",""context_evidence"":[],""criterion_reference"":""new_concept"",""stance"":""Apoya la proposición de que la gravedad del caso justifica una tramitación legislativa específica y separada."",""uncertainty"":""La naturaleza exacta de la gravedad invocada no se especifica, aunque su uso como fundamento del tratamiento separado es claro.""}"
33,utt_289b0fb559ca74901faf::p0006-p0008,utt_289b0fb559ca74901faf,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,review,,Tratamiento legislativo específico y separado: los casos previsionales excepcionales deben ser objeto de una discusión profunda en una ley especialmente diseñada para ese propósito y separada de la normativa general.,support,586,816,"el contexto de las leyes Valech y Rettig creemos francamente que amerita una discusión profunda, desarrollada en el marco de una ley especialmente diseñada para ese propósito y no incorporada en el ámbito de la presente normativa.","{""alternatives"":[{""concept_id"":""acuerdos_moderacion"",""reason"":""Aunque se alude a una discusión legislativa, no se invocan acuerdos amplios, compromiso entre posiciones contrapuestas ni moderación.""}],""coding"":""La cita sostiene que estos casos ameritan una discusión profunda y una ley especialmente diseñada, separada de la normativa vigente. Esto formula una justificación procedimental sobre el tratamiento legislativo que no está contemplada por los conceptos del libro."",""context_evidence"":[],""criterion_reference"":""new_concept"",""stance"":""Apoya la proposición de que los casos de exonerados deben discutirse y regularse mediante una ley especial separada, en lugar de incorporarse a la normativa general."",""uncertainty"":""El pasaje prescribe el marco y la separación del tratamiento legislativo, pero no especifica el contenido sustantivo de la ley especial.""}"
34,utt_289b0fb559ca74901faf::p0009-p0013,utt_289b0fb559ca74901faf,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,review,,"Deliberación legislativa diferenciada por gravedad: los asuntos previsionales de especial gravedad o distinta naturaleza deben recibir una discusión separada, estructural y más profunda que la posible dentro de una ley de Pensión Garantizada Universal.",support,22,280,"la gravedad de los hechos que terminaron por convocar estos dos esquemas jurídicos: Valech y Rettig , amerita una discusión distinta, estructural y mucho más profunda que la que se pueda dar en el marco de una ley que crea esta Pensión Garantizada Universal.","{""alternatives"":[{""concept_id"":""acuerdos_moderacion"",""reason"":""Aunque se menciona una discusión, no se la justifica por acuerdos, compromiso, consenso o moderación entre posiciones contrapuestas.""}],""coding"":""La gravedad de los hechos se presenta como razón para exigir una discusión legislativa distinta, estructural y más profunda que la disponible en la ley de PGU. Es una justificación procedimental explícita que no corresponde a un concepto existente del libro."",""context_evidence"":[],""criterion_reference"":""new_concept"",""stance"":""La cita apoya la proposición de que asuntos previsionales especialmente graves o de distinta naturaleza deben debatirse mediante una instancia legislativa diferenciada."",""uncertainty"":""El pasaje puede entenderse como una objeción al alcance y trámite de la ley más que como una regla sustantiva sobre el sistema previsional; por eso se propone como concepto nuevo para revisión.""}"
35,utt_5164f57b16a245992f1a::p0001-p0002,utt_5164f57b16a245992f1a,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,igualdad_universalismo,,support,250,489,"Yo mañana puedo recurrir, si es que esta norma se aprueba, al Tribunal Constitucional por la igualdad ante la ley. Lo que no me pueden decir es que si las personas señaladas se eliminan de este artículo están fuera de norma constitucional.","{""alternatives"":[{""concept_id"":""conciencia_costos"",""reason"":""Aunque el bloque menciona los costos, los usa para defender la facultad de votar y no para afirmar que la reforma sea fiscalmente inviable, insostenible o demasiado costosa.""}],""coding"":""La igualdad ante la ley se invoca como parámetro constitucional para impugnar la norma y cuestionar la exclusión de las personas señaladas, lo que formula una exigencia de igualdad de trato en las reglas previsionales."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""Apoya que las personas afectadas sean tratadas bajo reglas previsionales compatibles con la igualdad, pues esa igualdad se presenta como motivo para recurrir contra la norma."",""uncertainty"":""La igualdad se formula en términos constitucionales generales y no se especifica el alcance del beneficio ni la diferencia concreta entre las personas; la conexión previsional depende de la norma y el artículo discutidos.""}"
36,utt_5164f57b16a245992f1a::p0003-p0004,utt_5164f57b16a245992f1a,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,igualdad_universalismo,,support,331,416,es nuestro derecho constitucional no ser partícipes de una situación discriminatoria.,"{""alternatives"":[],""coding"":""La cita invoca un derecho constitucional para rechazar una situación discriminatoria, formulando la igualdad de trato como razón normativa para oponerse a la disposición previsional."",""context_evidence"":[{""source"":""previous_context"",""text"":""Yo mañana puedo recurrir, si es que esta norma se aprueba, al Tribunal Constitucional por la igualdad ante la ley.""}],""criterion_reference"":""include:2"",""stance"":""Apoya que la protección previsional y sus reglas respeten la igualdad de trato y no produzcan discriminación."",""uncertainty"":""No se especifica en la cita qué grupo o trato concreto sería discriminado, pero la apelación explícita a la igualdad permite aplicar el concepto.""}"
42,utt_e83df4d71a02276035ec::p0001-p0007,utt_e83df4d71a02276035ec,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,igualdad_universalismo,,support,102,167,nos habíamos hecho la ilusión de que esta vez sí fuera universal.,"{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""El bloque menciona pensiones que se deterioran y desempleo prolongado, pero no formula la carencia material como el criterio que debe determinar la asignación; la proposición codificada se funda en la universalidad.""},{""concept_id"":""identidad"",""reason"":""La referencia a 'nuestros amigos y amigas' no presenta la pertenencia a ese grupo como razón distributiva.""}],""coding"":""La expectativa explícita de que la Pensión Garantizada Universal fuera universal presenta la cobertura universal de un beneficio previsional como el diseño deseado, y no solo como una descripción técnica."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""El hablante lamenta que la promesa de universalidad no se haya cumplido y, por tanto, apoya que la protección previsional tenga alcance universal."",""uncertainty"":""La justificación se expresa como una expectativa o ilusión, no mediante un deber explícito; su carácter normativo se refuerza por la lamentación posterior ante la exclusión dentro del mismo bloque.""}"
47,utt_4c53b710b40430edbd03::p0006,utt_4c53b710b40430edbd03,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,identidad,,support,157,273,"Acá hay de verdad una total indiferencia respecto de, por ejemplo, personas que vivieron prisión política y tortura.","{""alternatives"":[{""concept_id"":""ilegitimidad_origen_dictatorial"",""reason"":""Aunque se menciona la prisión política y la tortura, la cita no afirma que el sistema previsional haya sido impuesto durante la dictadura ni que ese origen debilite su legitimidad.""}],""coding"":""La cita identifica a las personas que vivieron prisión política y tortura como un grupo cuyo trato previsional está siendo cuestionado por una supuesta indiferencia; la pertenencia a ese grupo opera como razón para reclamar reconocimiento o protección diferenciada."",""context_evidence"":[{""source"":""next_context"",""text"":""Los colocamos a todos ahí, pero acá no hay un reconocimiento.""}],""criterion_reference"":""include:2"",""stance"":""Al rechazar la indiferencia hacia ese grupo, la cita apoya que su pertenencia o experiencia compartida justifique un trato previsional distinto o una mayor protección."",""uncertainty"":""El objetivo no especifica qué beneficio o reconocimiento concreto debería otorgarse; la interpretación distributiva depende del contexto inmediato sobre la falta de reconocimiento.""}"
48,utt_4c53b710b40430edbd03::p0007-p0009,utt_4c53b710b40430edbd03,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,review,,Reconocimiento y no revictimización de víctimas de prisión política y tortura: la protección previsional debe reconocer su condición y evitar revictimizarlas.,support,148,234,"Los colocamos a todos ahí, pero acá no hay un reconocimiento. Creo que se revictimiza.","{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""La referencia a una pensión básica y a la edad no afirma carencia económica, vulnerabilidad material ni priorización por recursos.""},{""concept_id"":""identidad"",""reason"":""Aunque se identifica un grupo, el argumento apela a su condición de víctimas y a su reconocimiento, no a pertenencia o cercanía a una comunidad propia.""}],""coding"":""La cita critica que la indicación ubique a estas personas en la lógica de la pensión básica solidaria sin reconocimiento y afirma que esa forma de tratarlas las revictimiza. Esto justifica una protección previsional que reconozca su condición y evite su revictimización, un criterio normativo ausente del libro de códigos."",""context_evidence"":[{""source"":""previous_context"",""text"":""Acá hay de verdad una total indiferencia respecto de, por ejemplo, personas que vivieron prisión política y tortura.""}],""criterion_reference"":""new_concept"",""stance"":""Al denunciar la falta de reconocimiento y la revictimización, el hablante respalda la proposición de que la política previsional debe reconocer a este grupo y evitar ese trato."",""uncertainty"":""El referente de «todos» se precisa mediante el contexto previo de la misma intervención; el texto objetivo no describe el contenido concreto de la indicación.""}"
49,utt_5936a765677a1e5b9dc6::p0001-p0004,utt_5936a765677a1e5b9dc6,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,acuerdos_moderacion,,support,251,375,"A mí me habría gustado ver, de parte del Gobierno, una actitud más flexible y haber acogido, en parte, nuestro planteamiento","{""alternatives"":[{""concept_id"":""actitud"",""reason"":""Aunque se usa la palabra 'actitud', la evaluación se dirige al Gobierno y no a la actitud de beneficiarios; el contenido normativo relevante es la flexibilidad como forma de compromiso.""}],""coding"":""La preferencia por una actitud flexible y por acoger parcialmente el planteamiento opositor expresa una disposición al compromiso y a una solución no maximalista en la reforma."",""context_evidence"":[],""criterion_reference"":""definition"",""stance"":""El hablante respalda la flexibilidad y la acogida parcial, por lo que apoya el valor de los acuerdos y la moderación, aunque critique al Gobierno por no aplicarlos."",""uncertainty"":""La cita no usa literalmente 'acuerdo' o 'compromiso'; la codificación se basa en la flexibilidad y la acogida parcial como señales explícitas de moderación.""}"
49,utt_5936a765677a1e5b9dc6::p0001-p0004,utt_5936a765677a1e5b9dc6,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,review,,reparación como finalidad de la protección previsional: las políticas previsionales deben cumplir una función de reparación pública.,support,434,500,lo que creemos que deben ser las políticas públicas de reparación.,"{""alternatives"":[{""concept_id"":""identidad"",""reason"":""La referencia a 'nuestra identidad' podría sugerir identidad, pero la pertenencia no se usa aquí como criterio para distribuir protección; la razón expresada es la finalidad reparativa.""}],""coding"":""La cita presenta como normativa la idea de lo que deben ser las políticas públicas de reparación y vincula el tema previsional con esa finalidad, que no está contemplada por los conceptos existentes."",""context_evidence"":[],""criterion_reference"":""new_concept"",""stance"":""El hablante se adscribe a 'lo que creemos' que deben ser esas políticas y, por tanto, respalda una orientación reparativa."",""uncertainty"":""La formulación es elíptica: no precisa qué daño se repara ni qué diseño o distribución previsional se deriva de esa finalidad, por lo que requiere revisión humana.""}"
